school_name,address,postal_code,planning_area,town,latitude,longitude
"Lianhua Primary School","2 Bukit Batok Street 52,","659243","BUKIT BATOK","BUKIT BATOK","",""
"Maha Bodhi School","10 Ubi Avenue 1,","408931","GEYLANG","GEYLANG","",""
"Maris Stella High School (Primary Section)","25 Mount Vernon Road,","368051","TOA PAYOH","TOA PAYOH","",""
"Marsiling Primary School","31 Woodlands Centre Road,","738927","WOODLANDS","WOODLANDS","",""
"Marymount Convent School","20 Marymount Road,","297754","TOA PAYOH","TOA PAYOH","",""
"Mayflower Primary School","200 Ang Mo Kio Avenue 5,","569878","ANG MO KIO","ANG MO KIO","",""
"Mee Toh School","21 Edgedale Plains,","828867","PUNGGOL","PUNGGOL","",""
"Meridian Primary School","20 Pasir Ris St 71,","518798","PASIR RIS","PASIR RIS","",""
"Methodist Girls' School (Primary)","11 Blackmore Drive,","599986","BUKIT TIMAH","BUKIT TIMAH","",""
"Montfort Junior School","52 Hougang Avenue 8,","538786","HOUGANG","HOUGANG","",""
"Nan Chiau Primary School","50 Anchorvale Link,","545080","SENGKANG","SENGKANG","",""
"Nan Hua Primary School","30 Jalan Lempeng,","128806","CLEMENTI","CLEMENTI","",""
"Nanyang Primary School","52 King's Road,","268097","BUKIT TIMAH","BUKIT TIMAH","",""
"Naval Base Primary School","7 Yishun Ave 4,","769028","YISHUN","YISHUN","",""
"New Town Primary School","300 Tanglin Halt Road,","148812","QUEENSTOWN","QUEENSTOWN","",""
"Ngee Ann Primary School","344 Marine Terrace,","449149","MARINE PARADE","MARINE PARADE","",""
"North Spring Primary School","1 Rivervale Street,","545088","SENGKANG","SENGKANG","",""
"North View Primary School","210 Yishun Avenue 6,","768960","YISHUN","YISHUN","",""
"North Vista Primary School","20 Compassvale Link,","544974","SENGKANG","SENGKANG","",""
"Northland Primary School","15 Yishun Avenue 4,","769026","YISHUN","YISHUN","",""
"Northoaks Primary School","61 Sembawang Drive,","757622","SEMBAWANG","SEMBAWANG","",""
"Northshore Primary School","30 Northshore Drive,","828671","PUNGGOL","PUNGGOL","",""
"Oasis Primary School","71 Edgefield Plains,","828716","PUNGGOL","PUNGGOL","",""
"Opera Estate Primary School","48 Fidelio Street,","458436","BEDOK","BEDOK","",""
"Palm View Primary School","150 Compassvale Bow,","544822","SENGKANG","SENGKANG","",""
"Park View Primary School","60 Pasir Ris Drive 1,","519524","PASIR RIS","PASIR RIS","",""
"Pasir Ris Primary School","5 Pasir Ris Street 21,","518968","PASIR RIS","PASIR RIS","",""
"Paya Lebar Methodist Girls' School (Primary)","298 Lorong Ah Soo,","536741","HOUGANG","HOUGANG","",""
"Pei Chun Public School","16 Lorong 7 Toa Payoh,","319320","TOA PAYOH","TOA PAYOH","",""
"Pei Hwa Presbyterian Primary School","7 Pei Wah Avenue,","597610","BUKIT TIMAH","BUKIT TIMAH","",""
"Pei Tong Primary School","15 Clementi Avenue 5,","129857","CLEMENTI","CLEMENTI","",""
"Peiying Primary School","651 Yishun Ring Road,","768687","YISHUN","YISHUN","",""
"Pioneer Primary School","80 Tengah Garden Avenue,","699915","CHOA CHU KANG","CHOA CHU KANG","",""
"Poi Ching School","21 Tampines Street 71,","529067","TAMPINES","TAMPINES","",""
"Princess Elizabeth Primary School","30 Bukit Batok West Avenue 3,","659163","BUKIT BATOK","BUKIT BATOK","",""
"Punggol Cove Primary School","52 Sumang Walk,","828674","PUNGGOL","PUNGGOL","",""
"Punggol Green Primary School","98 Punggol Walk,","828772","PUNGGOL","PUNGGOL","",""
"Punggol Primary School","61 Hougang Avenue 8,","538787","HOUGANG","HOUGANG","",""
"Punggol View Primary School","9 Punggol Place,","828845","PUNGGOL","PUNGGOL","",""
"Qifa Primary School","50 West Coast Avenue,","128104","CLEMENTI","CLEMENTI","",""
"Qihua Primary School","5 Woodlands Street 81,","738525","WOODLANDS","WOODLANDS","",""
"Queenstown Primary School","310 Margaret Dr,","149303","QUEENSTOWN","QUEENSTOWN","",""
"Radin Mas Primary School","1 Bukit Purmei Avenue,","099840","BUKIT MERAH","BUKIT MERAH","",""
"Raffles Girls' Primary School","21 Hillcrest Road,","289072","BUKIT TIMAH","BUKIT TIMAH","",""
"Red Swastika School","350 Bedok North Avenue 3,","469719","BEDOK","BEDOK","",""
"River Valley Primary School","2 River Valley Green,","237993","CENTRAL AREA","CENTRAL AREA","",""
"Riverside Primary School","110 Woodlands Crescent,","737803","WOODLANDS","WOODLANDS","",""
