school_name,address,postal_code,planning_area,town,latitude,longitude
"St. Anthony's Primary School","30 BUKIT BATOK STREET 32 SAINT ANTHONY'S PRIMARY SCHOOL SINGAPORE 659401","659401","BUKIT BATOK","BUKIT BATOK","1.36411948475833","103.749251919049"
"St. Gabriel's Primary School","220 LORONG CHUAN MORNING STAR COMMUNITY SERVICES (SGPS) SINGAPORE 556742","556742","SERANGOON","SERANGOON","1.34930766795555","103.862309899986"
"St. Hilda's Primary School","2 TAMPINES AVENUE 3 CHAPEL OF CHRIST THE REDEEMER SINGAPORE 529706","529706","TAMPINES","TAMPINES","1.34967978969837","103.937016363397"
"St. Joseph's Institution Junior","3 ESSEX ROAD MORNING STAR COMMUNITY SERVICES (ST JOSEPH'S INSTITUTION JUNIOR) SINGAPORE 309331","309331","CENTRAL AREA","CENTRAL AREA","1.31781476118551","103.845633334522"
"St. Margaret's School (Primary)","136 SOPHIA ROAD CHAPEL OF CHRIST THE KING SINGAPORE 228197","228197","CENTRAL AREA","CENTRAL AREA","1.30414407358332","103.845820266438"
"St. Stephen's School","20 SIGLAP VIEW SAINT STEPHEN'S SCHOOL SINGAPORE 455789","455789","BEDOK","BEDOK","1.31878997295135","103.917258129598"
"Tampines North Primary School","30 TAMPINES AVENUE 9 BIG HEART STUDENT CARE (TAMPINES NORTH PRIMARY SCHOOL) SINGAPORE 529565","529565","TAMPINES","TAMPINES","1.36048786025607","103.948768900518"
"Tampines Primary School","250 TAMPINES STREET 12 AMP-MERCU STUDENT CARE CENTRE @ TAMPINES PRIMARY SCHOOL SINGAPORE 529426","529426","TAMPINES","TAMPINES","1.3504863946694","103.943573098509"
"Tanjong Katong Primary School","10 SERAYA ROAD AFTERSCHOOL @ TANJONG KATONG PRIMARY SCHOOL SINGAPORE 437259","437259","MARINE PARADE","MARINE PARADE","1.30498489044822","103.899999965407"
"Tao Nan School","49 MARINE CRESCENT TAO NAN SCHOOL SINGAPORE 449761","449761","MARINE PARADE","MARINE PARADE","1.30528528687321","103.911553152326"
"Teck Ghee Primary School","1 ANG MO KIO STREET 32 NASCANS @ TECK GHEE SINGAPORE 569299","569299","ANG MO KIO","ANG MO KIO","1.36565018546903","103.851009800453"
"Teck Whye Primary School","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","688261","CHOA CHU KANG","CHOA CHU KANG","1.38388660469396","103.753924558586"
"Telok Kurau Primary School","50 BEDOK RESERVOIR ROAD KOWABUNGA KIDZ TREEHOUSE @ TELOK KURAU PRIMARY SINGAPORE 479239","479239","BEDOK","BEDOK","1.33109611001931","103.911005345855"
"Temasek Primary School","501 BEDOK SOUTH AVENUE 3 MOE KINDERGARTEN @ TEMASEK SINGAPORE 469300","469300","BEDOK","BEDOK","1.31720341663064","103.94575943784"
"Townsville Primary School","3 ANG MO KIO AVENUE 10 PRO-TEACH SCHOOLCARE (TOWNSVILLE) LLP SINGAPORE 569730","569730","ANG MO KIO","ANG MO KIO","1.35994649477568","103.853768994775"
"Unity Primary School","21 CHOA CHU KANG CRESCENT ALPHAJOY STUDENT CARE CENTRE SINGAPORE 688268","688268","CHOA CHU KANG","CHOA CHU KANG","1.40278303219036","103.746801233973"
"Valour Primary School","49 PUNGGOL CENTRAL MOE KINDERGARTEN @ VALOUR SINGAPORE 828728","828728","PUNGGOL","PUNGGOL","1.40744168163777","103.898762173662"
"Waterway Primary School","70 PUNGGOL DRIVE KNOWLEDGE PARK EDUCARE PTE LTD (WATERWAY PRIMARY) SINGAPORE 828802","828802","PUNGGOL","PUNGGOL","1.39889261226315","103.918585924582"
"Wellington Primary School","10 WELLINGTON CIRCLE MOE KINDERGARTEN @ WELLINGTON SINGAPORE 757702","757702","SEMBAWANG","SEMBAWANG","1.45168517614776","103.822516208087"
"West Grove Primary School","1 JURONG WEST STREET 72 NASCANS @ WEST GROVE SINGAPORE 649223","649223","JURONG WEST","JURONG WEST","1.34471211768915","103.698964212988"
"West Spring Primary School","60 BUKIT PANJANG RING ROAD MOE KINDERGARTEN @ WEST SPRING SINGAPORE 679946","679946","BUKIT PANJANG","BUKIT PANJANG","1.38917971808454","103.76639772288"
"West View Primary School","31 SENJA ROAD BIG HEART STUDENT CARE (WEST VIEW PRIMARY SCHOOL) SINGAPORE 677742","677742","BUKIT PANJANG","BUKIT PANJANG","1.38378546546228","103.760273432258"
"Westwood Primary School","1 JURONG WEST STREET 73 MOE KINDERGARTEN @ WESTWOOD SINGAPORE 649188","649188","JURONG WEST","JURONG WEST","1.3477109654722","103.700467520791"
"White Sands Primary School","2 PASIR RIS STREET 11 LEARNING LEAP PTE LTD (WHITE SANDS PRIMARY SCHOOL) SINGAPORE 519075","519075","PASIR RIS","PASIR RIS","1.36563610941695","103.960861814678"
"Woodgrove Primary School","2 WOODLANDS DRIVE 14 COMMIT LEARNING SCHOOLHOUSE @ WOODGROVE PRIMARY SCHOOL SINGAPORE 738079","738079","WOODLANDS","WOODLANDS","1.43273620725049","103.79023031392"
"Woodlands Primary School","10 WOODLANDS DRIVE 50 COMMIT LEARNING SCHOOLHOUSE @ WOODLANDS PRIMARY SCHOOL SINGAPORE 738853","738853","WOODLANDS","WOODLANDS","1.43658270720199","103.791791282236"
"Woodlands Ring Primary School","11 WOODLANDS RING ROAD POWERLIFE STUDENT SERVICES SINGAPORE 738240","738240","WOODLANDS","WOODLANDS","1.43485179380236","103.79741434351"
"Xinghua Primary School","45 HOUGANG AVENUE 1 HOME-IN-SCHOOL CONNECTION STUDENT CARE CENTRE SINGAPORE 538882","538882","HOUGANG","HOUGANG","1.35799653782463","103.890216355459"
"Xingnan Primary School","5 JURONG WEST STREET 91 SHG STUDENT CARE (XINGNAN PRIMARY SCHOOL) SINGAPORE 649036","649036","JURONG WEST","JURONG WEST","1.34270639669225","103.687588478681"
"Xinmin Primary School","9 HOUGANG AVENUE 8 RAFFLES STUDENT CARE CENTRE LLP (XINMIN PRIMARY) SINGAPORE 538784","538784","HOUGANG","HOUGANG","1.37176798317468","103.88280991785"
"Xishan Primary School","8 YISHUN STREET 21 XISHAN PRIMARY SCHOOL SINGAPORE 768611","768611","YISHUN","YISHUN","1.43347186925064","103.837755319448"
"Yangzheng Primary School","15 SERANGOON AVENUE 3 BIG HEART STUDENT CARE @ YANGZHENG SINGAPORE 556108","556108","SERANGOON","SERANGOON","1.3489768083841","103.868467129954"
"Yew Tee Primary School","10 CHOA CHU KANG STREET 64 PRO-TEACH SCHOOLCARE (YEW TEE PRIMARY) SINGAPORE 689100","689100","CHOA CHU KANG","CHOA CHU KANG","1.39672603497195","103.751817992962"
"Yio Chu Kang Primary School","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","538720","HOUGANG","HOUGANG","1.37793264345276","103.885643682171"
"Yishun Primary School","500 YISHUN RING ROAD MOE KINDERGARTEN @ YISHUN SINGAPORE 768679","768679","YISHUN","YISHUN","1.43397617334964","103.834050796658"
"Yu Neng Primary School","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","469623","BEDOK","BEDOK","1.33398037894072","103.932015036296"
"Yuhua Primary School","158 JURONG EAST STREET 24 PRO-TEACH SCHOOLCARE (YUHUA) SINGAPORE 609558","609558","JURONG EAST","JURONG EAST","1.34291981622016","103.740861148879"
"Yumin Primary School","3 TAMPINES STREET 21 SHG STUDENT CARE (YUMIN PRIMARY SCHOOL) SINGAPORE 529393","529393","TAMPINES","TAMPINES","1.35131569890862","103.950551091373"
"Zhangde Primary School","51 JALAN MEMBINA YMCA STUDENT CARE CENTRE @ ZHANGDE SINGAPORE 169485","169485","BUKIT MERAH","BUKIT MERAH","1.28421153855474","103.825951884637"
"Zhenghua Primary School","9 FAJAR ROAD MOE KINDERGARTEN @ ZHENGHUA SINGAPORE 679002","679002","BUKIT PANJANG","BUKIT PANJANG","1.37942873617052","103.76970317201"
"Zhonghua Primary School","12 SERANGOON AVENUE 4 LEARNING STUDIO BY ZENITANT (ZHONGHUA PRIMARY SCHOOL) SINGAPORE 556095","556095","SERANGOON","SERANGOON","1.36026072476019","103.869712517383"
